rating_announcement,rating_announcement_change,region,announcement_count,announcement_count_resale,announcement_count_new,avg_price_resale,avg_price_new,rating_loan,rating_loan_change,min_numb_of_appr_loan,share_of_onln_loan,share_of_office_loan
64,1,Тамбовская Область,5193,2849,210.0,81191,,61,2,1000.0,0.43,0.57
65,-2,Новгородская Область,5117,1560,459.0,70758,86857.0,74,0,500.0,0.47,0.53
66,1,Псковская Область,4632,1480,1566.0,69623,68500.0,76,0,500.0,0.43,0.57
67,1,Кабардино-Балкарская Республика,4177,2893,109.0,69019,,69,-3,500.0,0.35,0.65
68,-2,Республика Мордовия,4084,1861,1052.0,70365,72409.0,62,7,1000.0,0.29,0.71
69,0,Ямало-Ненецкий Автономный округ,3820,2599,437.0,124135,,60,-4,1000.0,0.52,0.48
70,0,Республика Карелия,3504,1355,621.0,88818,120570.0,68,2,500.0,0.47,0.53
71,0,Республика Алтай,3462,555,81.0,104167,96000.0,79,0,100.0,0.49,0.51
72,0,Республика Тыва,3454,1334,314.0,125728,137808.0,71,-3,500.0,0.5,0.5
73,0,Республика Дагестан,2638,1971,,86680,,43,6,1000.0,0.4,0.6
74,0,Мурманская Область,2349,2076,,78125,,63,-1,1000.0,0.58,0.42
75,1,Республика Калмыкия,1722,843,48.0,67857,,66,-1,1000.0,0.16,0.84
76,2,Чеченская Республика,1553,1138,,71429,,49,1,1000.0,0.74,0.26
77,0,Камчатский Край,1520,948,,127586,,77,-2,500.0,0.49,0.51
78,-3,Карачаево-Черкесская Республика,1453,806,,86652,,67,0,500.0,0.3,0.7
79,0,Еврейская Автономная область,799,299,,71528,,80,0,1.0,0.54,0.46
81,-1,Республика Ингушетия,684,329,,46763,,84,-2,,,
82,-1,Магаданская Область,481,391,,113060,,78,0,100.0,0.67,0.33
84,-2,Чукотский Автономный округ,87,78,,110500,,86,-3,,,
86,-3,Ненецкий Автономный округ,64,48,,85092,,82,-1,,,
